Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Argyrios Stampas, Claudia Pedroza, Jennifer N Bush, Adam R Ferguson, John L Kipling Kramer, Michelle Hook","The first 24 h: opioid administration in people with spinal cord injury and neurologic recovery.",2020,"Spinal cord","","","",1,"2021-01-12 08:59:30","Journal Article","10.1038/s41393-020-0483-x","1476-5624","",58,10,1080,1089,0,0.00,0,6,1,"Retrospective chart review. The objective of this study was to characterize opioid administration in people with acute SCI and examine the association between opioid dose and (1) changes in motor/functional scores from hospital to rehabilitation discharge, and (2) pain, depression, and quality of life (QOL) scores 1-year post injury. Spinal Cord Injury Model System (SCIMS) inpatient acute rehabilitation facility. Patients included in the SCIMS from 2008 to 2011 were linked to the National Trauma Registry and the electronic medical record. Three opioid dose groups (low, medium, and high) were defined based on the total morphine equivalence in milligrams at 24 h. The associations between opioid dose groups and functional/motor outcomes were assessed, as well as 1-year follow-up pain and QOL surveys. In all, 85/180 patients had complete medication records. By 24 h, all patients had received opioids. Patients receiving higher amounts of opioids had higher pain scores 1 year later compared with medium- and low-dose groups (pain levels 5.5 vs. 4 vs. 1, respectively, p = 0.018). There was also an 8× greater risk of depression 1 year later in the high-dose group compared with the low-dose group (OR: 8.1, 95% CI: 1.2-53.7). In analyses of motor scores, we did not find a significant interaction between opioid dose and duration of injury. These preliminary findings suggest that higher doses of opioids administered within 24 h of injury are associated with increased pain in the chronic phase of people with SCI."
0,"Miriam Aceves, Mabel N Terminel, Andre Okoreeh, Alejandro R Aceves, Yan Ming Gong, Alan Polanco, Farida Sohrabji, Michelle A Hook","Morphine increases macrophages at the lesion site following spinal cord injury: Protective effects of minocycline.",2019,"Brain, behavior, and immunity","","","",2,"2021-01-12 08:59:30","Journal Article","10.1016/j.bbi.2019.01.023","1090-2139","",79,,125,138,0,0.00,0,8,2,"Opioids are among the most effective and widely prescribed medications for the treatment of pain following spinal cord injury (SCI). Spinally-injured patients receive opioids within hours of arrival at the emergency room, and prolonged opioid regimens are often employed for the management of post-SCI chronic pain. However, previous studies in our laboratory suggest that the effects of opioids such as morphine may be altered in the pathophysiological context of neurotrauma. Specifically, we have shown that morphine administration in a rodent model of SCI increases mortality and tissue loss at the injury site, and decreases recovery of motor and sensory function, and overall health, even weeks after treatment. The literature suggests that opioids may produce these adverse effects by acting as endotoxins and increasing glial activation and inflammation. To better understand the effects of morphine following SCI, in this study we used flow cytometry to assess immune-competent cells at the lesion site. We observed a morphine-induced increase in the overall number of CD11b+ cells, with marked effects on microglia, in SCI subjects. Next, to investigate whether this increase in the inflammatory profile is necessary to produce morphine's effects, we challenged morphine treatment with minocycline. We found that pre-treatment with minocycline reduced the morphine-induced increase in microglia at the lesion site. More importantly, minocycline also blocked the adverse effects of morphine on recovery of function without disrupting the analgesic efficacy of this opioid. Together, our findings suggest that following SCI, morphine may exacerbate the inflammatory response, increasing cell death at the lesion site and negatively affecting functional recovery."
0,"Wen-Wu Li, Karen-Amanda Irvine, Peyman Sahbaie, Tian-Zhi Guo, Xiao-You Shi, Vivianne L Tawfik, Wade S Kingery, J David Clark","Morphine Exacerbates Postfracture Nociceptive Sensitization, Functional Impairment, and Microglial Activation in Mice.",2019,"Anesthesiology","","","",3,"2021-01-12 08:59:30","Journal Article","10.1097/ALN.0000000000002495","1528-1175","",130,2,292,308,0,0.00,0,8,2,"Emerging evidence suggests that opioid use immediately after surgery and trauma may worsen outcomes. In these studies, the authors aimed to determine whether morphine administered for a clinically relevant time period (7 days) in a tibia fracture orthopedic surgery model had adverse effects on postoperative recovery. Mice were given morphine twice daily for 7 days after unilateral tibial fracture and intramedullary pin fixation to model orthopedic surgery and limb trauma. Mechanical allodynia, limb-specific weight bearing, gait changes, memory, and anxiety were measured after injury. In addition, spinal cord gene expression changes as well as glial activation were measured. Finally, the authors assessed the effects of a selective Toll-like receptor 4 antagonist, TAK-242, on nociceptive and functional changes after injury. Tibial fracture caused several weeks of mechanical nociceptive sensitization (F(1, 216) = 573.38, P < 0.001, fracture + vehicle vs. sham + vehicle, n = 10 per group), and this change was exacerbated by the perioperative administration of morphine (F(1, 216) = 71.61, P < 0.001, fracture + morphine vs. fracture + vehicle, n = 10 per group). In additional testing, injured limb weight bearing, gait, and object location memory were worse in morphine-treated fracture mice than in untreated fracture mice. Postfracture expression levels of several genes previously associated with opioid-induced hyperalgesia, including brain-derived neurotrophic factor and prodynorphin, were unchanged, but neuroinflammation involving Toll-like receptor 4 receptor-expressing microglia was observed (6.8 ± 1.5 [mean ± SD] cells per high-power field for fracture + vehicle vs. 12 ± 2.8 fracture + morphine, P < 0.001, n = 8 per /group). Treatment with a Toll-like receptor 4 antagonist TAK242 improved nociceptive sensitization for about 2 weeks in morphine-treated fracture mice (F(1, 198) = 73.36, P < 0.001, fracture + morphine + TAK242 vs. fracture + morphine, n = 10 per group). Morphine treatment beginning at the time of injury impairs nociceptive recovery and other outcomes. Measures preventing glial activation through Toll-like receptor 4 signaling may reduce the adverse consequences of postoperative opioid administration."
0,"Andrew D Gaudet, Monica T Ayala, Wolfgang E Schleicher, Elana J Smith, Emily M Bateman, Steven F Maier, Linda R Watkins","Exploring acute-to-chronic neuropathic pain in rats after contusion spinal cord injury.",2017,"Experimental neurology","","","",4,"2021-01-12 08:59:30","Journal Article","10.1016/j.expneurol.2017.05.011","1090-2430","",295,,46,54,0,0.00,0,7,4,"Spinal cord injury (SCI) causes chronic pain in 65% of individuals. Unfortunately, current pain management is inadequate for many SCI patients. Rodent models could help identify how SCI pain develops, explore new treatment strategies, and reveal whether acute post-SCI morphine worsens chronic pain. However, few studies explore or compare SCI-elicited neuropathic pain in rats. Here, we sought to determine how different clinically relevant contusion SCIs in male and female rats affect neuropathic pain, and whether acute morphine worsens later chronic SCI pain. First, female rats received sham surgery, or 150kDyn or 200kDyn midline T9 contusion SCI. These rats displayed modest mechanical allodynia and long-lasting thermal hyperalgesia. Next, a 150kDyn (1s dwell) midline contusion SCI was performed in male and female rats. Interestingly, males, but not females showed SCI-elicited mechanical allodynia; rats of both sexes had thermal hyperalgesia. In this model, acute morphine treatment had no significant effect on chronic neuropathic pain symptoms. Unilateral SCIs can also elicit neuropathic pain that could be exacerbated by morphine, so male rats received unilateral T13 contusion SCI (100kDyn). These rats exhibited significant, transient mechanical allodynia, but not thermal hyperalgesia. Acute morphine did not exacerbate chronic pain. Our data show that specific rat contusion SCI models cause neuropathic pain. Further, chronic neuropathic pain elicited by these contusion SCIs was not amplified by our course of early post-trauma morphine. Using clinically relevant rat models of SCI could help identify novel pain management strategies."
0,"Joel D Turtle, Misty M Strain, Miriam Aceves, Yung-Jen Huang, Joshua A Reynolds, Michelle A Hook, James W Grau","Pain Input Impairs Recovery after Spinal Cord Injury: Treatment with Lidocaine.",2017,"Journal of neurotrauma","","","",5,"2021-01-12 08:59:30","Journal Article","10.1089/neu.2016.4778","1557-9042","",34,6,1200,1208,0,0.00,0,7,4,"More than 90% of spinal cord injuries are caused by traumatic accidents and are often associated with other tissue damage (polytrauma) that can provide a source of continued pain input during recovery. In a clinically relevant spinal cord contusion injury model, prior work has shown that noxious stimulation at an intensity that engages pain (C) fibers soon after injury augments secondary injury and impairs functional recovery. Noxious input increases the expression of pro-inflammatory cytokines (interleukin 1β and 18), cellular signals associated with cell death (caspase 3 and 8), and physiological signs of hemorrhage. Here, it is shown that reducing neural excitability after spinal cord injury (SCI) with the local anesthetic lidocaine (micro-injected by means of a lumbar puncture) blocks these adverse cellular effects. In contrast, treatment with an analgesic dose of morphine had no effect. Contused rats that received nociceptive stimulation soon after injury exhibited poor locomotor recovery, less weight gain, and greater tissue loss at the site of injury. Prophylactic application of lidocaine blocked the adverse effect of nociceptive stimulation on behavioral recovery and reduced tissue loss from secondary injury. The results suggest that quieting neural excitability using lidocaine can reduce the adverse effect of pain input (from polytrauma or surgery) after SCI."
0,"Michelle A Hook, Sarah A Woller, Eric Bancroft, Miriam Aceves, Mary Katherine Funk, John Hartman, Sandra M Garraway","Neurobiological Effects of Morphine after Spinal Cord Injury.",2017,"Journal of neurotrauma","","","",6,"2021-01-12 08:59:30","Journal Article","10.1089/neu.2016.4507","1557-9042","",34,3,632,644,0,0.00,0,7,4,"Opioids and non-steroidal anti-inflammatory drugs are used commonly to manage pain in the early phase of spinal cord injury (SCI). Despite its analgesic efficacy, however, our studies suggest that intrathecal morphine undermines locomotor recovery and increases lesion size in a rodent model of SCI. Similarly, intravenous (IV) morphine attenuates locomotor recovery. The current study explores whether IV morphine also increases lesion size after a spinal contusion (T12) injury and quantifies the cell types that are affected by early opioid administration. Using an experimenter-administered escalating dose of IV morphine across the first seven days post-injury, we quantified the expression of neuron, astrocyte, and microglial markers at the injury site. SCI decreased NeuN expression relative to shams. In subjects with SCI treated with IV morphine, virtually no NeuN+ cells remained across the rostral-caudal extent of the lesion. Further, whereas SCI per se increased the expression of astrocyte and microglial markers (glial fibrillary acidic protein and OX-42, respectively), morphine treatment decreased the expression of these markers. These cellular changes were accompanied by attenuation of locomotor recovery (Basso, Beattie, Bresnahan scores), decreased weight gain, and the development of opioid-induced hyperalgesia (increased tactile reactivity) in morphine-treated subjects. These data suggest that morphine use is contraindicated in the acute phase of a spinal injury. Faced with a lifetime of intractable pain, however, simply removing any effective analgesic for the management of SCI pain is not an ideal option. Instead, these data underscore the critical need for further understanding of the molecular pathways engaged by conventional medications within the pathophysiological context of an injury."
0,"Miriam Aceves, Eric A Bancroft, Alejandro R Aceves, Michelle A Hook","Nor-Binaltorphimine Blocks the Adverse Effects of Morphine after Spinal Cord Injury.",2017,"Journal of neurotrauma","","","",7,"2021-01-12 08:59:30","Journal Article","10.1089/neu.2016.4601","1557-9042","",34,6,1164,1174,0,0.00,0,4,4,"Opioids are frequently used for the treatment of pain following spinal cord injury (SCI). Unfortunately, we have shown that morphine administered in the acute phase of SCI results in significant, adverse secondary consequences including compromised locomotor and sensory recovery. Similarly, we showed that selective activation of the κ-opioid receptor (KOR), even at a dose 32-fold lower than morphine, is sufficient to attenuate recovery of locomotor function. In the current study, we tested whether activation of the KOR is necessary to produce morphine's adverse effects using nor-Binaltorphimine (norBNI), a selective KOR antagonist. Rats received a moderate spinal contusion (T12) and 24 h later, baseline locomotor function and nociceptive reactivity were assessed. Rats were then administered norBNI (0, 0.02, 0.08, or 0.32 μmol) followed by morphine (0 or 0.32 μmol). Nociception was reassessed 30 min after drug treatment, and recovery was evaluated for 21 days. The effects of norBNI on morphine-induced attenuation of recovery were dose dependent. At higher doses, norBNI blocked the adverse effects of morphine on locomotor recovery, but analgesia was also significantly decreased. Conversely, at low doses, analgesia was maintained, but the adverse effects on recovery persisted. A moderate dose of norBNI, however, adequately protected against morphine's adverse effects without eliminating its analgesic efficacy. This suggests that activation of the KOR system plays a significant role in the morphine-induced attenuation of recovery. Our research suggests that morphine, and other opioid analgesics, may be contraindicated for the SCI population. Blocking KOR activity may be a viable strategy for improving the safety of clinical opioid use."
0,"Amanda Ellis, Peter M Grace, Julie Wieseler, Jacob Favret, Kendra Springer, Bryce Skarda, Monica Ayala, Mark R Hutchinson, Scott Falci, Kenner C Rice, Steven F Maier, Linda R Watkins","Morphine amplifies mechanical allodynia via TLR4 in a rat model of spinal cord injury.",2016,"Brain, behavior, and immunity","","","",8,"2021-01-12 08:59:30","Journal Article","10.1016/j.bbi.2016.08.004","1090-2139","",58,,348,356,0,0.00,0,12,5,"Central neuropathic pain (CNP) is a pervasive, debilitating problem that impacts thousands of people living with central nervous system disorders, including spinal cord injury (SCI). Current therapies for treating this type of pain are ineffective and often have dose-limiting side effects. Although opioids are one of the most commonly used CNP treatments, recent animal literature has indicated that administering opioids shortly after a traumatic injury can actually have deleterious effects on long-term health and recovery. In order to study the deleterious effects of administering morphine shortly after trauma, we employed our low thoracic (T13) dorsal root avulsion model (Spinal Neuropathic Avulsion Pain, SNAP). Administering a weeklong course of 10mg/kg/day morphine beginning 24h after SNAP resulted in amplified mechanical allodynia. Co-administering the non-opioid toll-like receptor 4 (TLR4) antagonist (+)-naltrexone throughout the morphine regimen prevented morphine-induced amplification of SNAP. Exploration of changes induced by early post-trauma morphine revealed that this elevated gene expression of TLR4, TNF, IL-1β, and NLRP3, as well as IL-1β protein at the site of spinal cord injury. These data suggest that a short course of morphine administered early after spinal trauma can exacerbate CNP in the long term. TLR4 initiates this phenomenon and, as such, may be potential therapeutic targets for preventing the deleterious effects of administering opioids after traumatic injury."
0,"M Aceves, B B Mathai, M A Hook","Evaluation of the effects of specific opioid receptor agonists in a rodent model of spinal cord injury.",2016,"Spinal cord","","","",9,"2021-01-12 08:59:30","Journal Article","10.1038/sc.2016.28","1476-5624","",54,10,767,777,0,0.00,0,3,5,"The current study aimed to evaluate the contribution(s) of specific opioid receptor systems to the analgesic and detrimental effects of morphine, observed after spinal cord injury in prior studies. We used specific opioid receptor agonists to assess the effects of μ- (DAMGO), δ- (DPDPE) and κ- (GR89696) opioid receptor activation on locomotor (Basso, Beattie and Bresnahan scale, tapered beam and ladder tests) and sensory (girdle, tactile and tail-flick tests) recovery in a rodent contusion model (T12). We also tested the contribution of non-classic opioid binding using [+]- morphine. First, a dose-response curve for analgesic efficacy was generated for each opioid agonist. Baseline locomotor and sensory reactivity was assessed 24 h after injury. Subjects were then treated with an intrathecal dose of a specific agonist and re-tested after 30 min. To evaluate the effects on recovery, subjects were treated with a single dose of an agonist and both locomotor and sensory function were monitored for 21 days. All agonists for the classic opioid receptors, but not the [+]- morphine enantiomer, produced antinociception at a concentration equivalent to a dose of morphine previously shown to produce strong analgesic effects (0.32 μmol). DAMGO and [+]- morphine did not affect long-term recovery. GR89696, however, significantly undermined the recovery of locomotor function at all doses tested. On the basis of these data, we hypothesize that the analgesic efficacy of morphine is primarily mediated by binding to the classic μ-opioid receptor. Conversely, the adverse effects of morphine may be linked to activation of the κ-opioid receptor. Ultimately, elucidating the molecular mechanisms underlying the effects of morphine is imperative to develop safe and effective pharmacological interventions in a clinical setting. USA. Grant DA31197 to MA Hook and the NIDA Drug Supply Program."
0,"Eric R Strickland, Sarah A Woller, Michelle A Hook, James W Grau, Rajesh C Miranda","The association between spinal cord trauma-sensitive miRNAs and pain sensitivity, and their regulation by morphine.",2014,"Neurochemistry international","","","",10,"2021-01-12 08:59:30","Journal Article","10.1016/j.neuint.2014.05.005","1872-9754","",77,,40,49,0,0.00,0,5,7,"Increased pain sensitivity is a common sequela to spinal cord injury (SCI). Moreover, drugs like morphine, though critical for pain management, elicit pro-inflammatory effects that exacerbate chronic pain symptoms. Previous reports showed that SCI results in the induction and suppression of several microRNAs (miRNAs), both at the site of injury, as well as in segments of the spinal cord distal to the injury site. We hypothesized that morphine would modulate the expression of these miRNAs, and that expression of these SCI-sensitive miRNAs may predict adaptation of distal nociceptive circuitry following SCI. To determine whether morphine treatment further dysregulates SCI-sensitive miRNAs, their expression was examined by qRT-PCR in sham controls and in response to vehicle and morphine treatment following contusion in rats, at either 2 or 15 days post-SCI. Our data indicated that expression of miR1, miR124, and miR129-2 at the injury site predicted the nociceptive response mediated by spinal regions distal to the lesion site, suggesting a molecular mechanism for the interaction of SCI with adaptation of functionally intact distal sensorimotor circuitry. Moreover, the SCI-induced miRNA, miR21 was induced by subsequent morphine administration, representing an alternate, and hitherto unidentified, maladaptive response to morphine exposure. Contrary to predictions, mRNA for the pro-inflammatory interleukin-6 receptor (IL6R), an identified target of SCI-sensitive miRNAs, was also induced following SCI, indicating dissociation between miRNA and target gene expression. Moreover, IL6R mRNA expression was inversely correlated with locomotor function suggesting that inflammation is a predictor of decreased spinal cord function. Collectively, our data indicate that miR21 and other SCI-sensitive miRNAs may constitute therapeutic targets, not only for improving functional recovery following SCI, but also for attenuating the effects of SCI on pain sensitivity."
